Structure parameters:
1.4017681915e-04 -5.5267334066e-03 1.9771423042e-02 
4.2304263274e-05 -5.6239344637e-03 1.9761551714e-02 
-1.0788777565e-04 -5.7642796863e-03 1.9715659797e-02 
9.5098717396e-05 -6.0102203408e-03 1.9590290388e-02 
-5.0527951441e-03 1.0329368923e-03 1.2279409187e-02 
-4.8763589346e-03 1.0201573169e-03 1.2233916276e-02 
-3.1543466570e-03 1.1191770713e-03 1.1712481457e-02 
-3.3174931481e-03 1.1756901411e-03 1.2191558240e-02 
-2.8232430808e-03 1.1863137045e-03 1.2056256222e-02 
-5.2163214833e-03 1.0035442962e-03 1.3108831927e-02 
-2.6516842930e-03 1.2032794678e-03 1.2807096968e-02 
-4.2002519585e-03 9.5689086917e-04 1.2915002700e-02 
-5.0529197144e-03 7.5254073012e-04 1.3397176325e-02 
-4.3429236575e-03 8.1601761932e-04 1.3713642367e-02 
-5.2723509920e-03 -3.6845600026e-03 2.0034946283e-02 
-6.6012335139e-03 -4.1045515366e-03 1.9305449392e-02 
-6.2780658692e-03 -4.1075024977e-03 1.9276915043e-02 
-5.5510408077e-03 -4.7716233862e-03 2.0685105086e-02 
-6.6249638793e-03 -5.6637510176e-03 2.1017294363e-02 
-3.4377168918e-03 1.1575555940e-03 1.2052043704e-02 
-1.6491994446e-03 -4.3921205284e-03 1.9811095461e-02 
-4.9072355244e-03 -5.3920080609e-03 2.0902448759e-02 
-5.5477643190e-03 -5.9238804544e-03 2.0727870176e-02 
-2.4019784644e-03 1.0983834358e-03 1.1448202056e-02 
-3.5236386633e-03 1.0970986706e-03 1.2623285431e-02 
-4.6102136457e-03 1.0208854954e-03 1.2268509412e-02 
-5.6175786332e-03 -2.2932014644e-03 2.0103999055e-02 
-4.7847044431e-03 -4.4200455941e-03 2.0644470784e-02 
-2.2745991653e-03 -4.3394530568e-03 1.9647977232e-02 
-2.3610942523e-03 -5.7135597192e-03 2.0316966820e-02 
-5.1379347261e-03 9.2528182640e-04 1.3000784980e-02 
-5.9192141306e-03 6.0770814508e-04 1.3126246740e-02 
